item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfilment-channel	merchant-shipping-group	status
2019 Classic Old Mountain Sandalwood Incense Sticks, Natural Fragrance, Stick Form, Meditation and Aromatherapy, 9.05 Inch		0630HRU6T09	WI-GAXS-92TC	28.41		2026-06-29 20:33:10 PDT		y	1			11				B0GWVQTGQT						B0GWVQTGQT				AMAZON_NA	Migrated Template	Inactive
YINJIYUE Rare Cliff Cypress Incense Sticks (Hinoki-Style) - 60 Sticks Natural Eastern Cypress Low Smoke, Deep Woodsy Aroma for Meditation, Relaxation & Spa	<p>YINJIYUE Hinoki Incense Sticks - 60 Premium Sticks</p><p>THE MAGIC OF HINOKI<br>Experience the authentic essence of Hinoki with our premium incense sticks. Crafted to capture the delicate and natural fragrance, these sticks transform any space into a peaceful sanctuary, bringing the beauty of nature directly into your home.</p><p>60 STICKS - EXCEPTIONAL VALUE<br>While most brands offer fewer sticks at higher prices, YINJIYUE provides 60 premium sticks in every beautifully packaged glass tube. This ensures you have an abundant supply for your daily rituals, meditation sessions, or simply to keep your home smelling wonderful for months.</p><p>CORELESS LOW-SMOKE FORMULA<br>Our natural incense features a coreless design that burns cleanly and evenly. The low-smoke formula ensures that you enjoy the pure, delicate fragrance without any harsh, overwhelming smoke or artificial chemical undertones. Perfect for those sensitive to strong odors.</p><p>PERFECT FOR:<br>- Daily meditation and mindfulness<br>- Yoga and breathing exercises<br>- Air purifying and odor elimination<br>- Creating a relaxing home sanctuary<br>- Thoughtful gifting for loved ones</p><p>PRODUCT SPECIFICATIONS:<br>- Quantity: 60 Sticks<br>- Stick Length: 9 inches (23 cm)<br>- Burn Time: Approximately 40-45 minutes per stick<br>- Packaging: Premium clear glass tube with cork stopper<br>- Ingredients: Natural wood powder and essential oils</p>	0701HVYVJKU	YJY-INC-HINOKI-60-US	28.37		2026-06-30 21:01:26 PDT		y	4			11				B0GZDQPWFN						8711727421147				AMAZON_NA	Migrated Template	Inactive
Hainan Agarwood Incense Sticks (40 Pack) - Premium Chinese Agarwood, Coreless & Low Smoke for Temple, Meditation & Aromatherapy | Natural, Non-Toxic Oudh Incense for Spiritual Relaxation (argarwood)	Deepen meditation and enhance mindfulness Soothe the mind and relieve stress Purify your space and spirit Clean-burning coreless tip 100% natural, unprocessed agarwood Low smoke, non-toxic	0717HU6NIGR	argarwood40	13.88		2026-07-17 05:27:23 PDT		y	1			11				B0FY6QW1LV						B0FY6QW1LV				AMAZON_NA	Migrated Template	Inactive
Seedlink Wooden Aromatherapy Incense Holder - Upside Down Hanging Rack with 1L Ash Catcher for Home Office or Yoga Space Decor & Meditation (Glass Height 17cm)	The Seedlink Wooden Aromatherapy Incense Holder combines natural wood and clear glass to create a modern aesthetic that complements any space. Featuring an upside-down hanging design that is modern, eye-catching, and space-saving. The built-in ash collector catches falling ash neatly for easy cleanup. Crafted from durable eco-friendly material with a smooth finish. Perfect for bedrooms, meditation rooms, spas, and yoga studios. Enhances calmness and mental clarity. Complements boho, rustic, minimalist, or zen interior styles. Simply hang your incense stick, light it, and enjoy the peaceful aroma. Product Dimensions: 9.64"L x 7.87"W x 3.14"Th. Item Weight: 14.08 ounces.	0618HIUVFES	incenseholder17cm	13.99		2026-06-18 08:16:20 PDT		y	3			11				B0FY5P2M4S						702408207318				AMAZON_NA	Migrated Template	Inactive
AFENGAU Natural Mugwort Incense Sticks for Calming Meditation, Yoga, Relaxation. Natural Sleep Aid, Stress Relief and Air Purifying Herbal Incense (Mugwort)	Incense has been used for centuries across cultures around the world, valued for its ability to create a calming and aromatic atmosphere in any space. Whether you are looking to enhance your meditation practice, set a relaxing mood at home, or simply enjoy a pleasant fragrance, incense is a wonderful addition to your daily routine. Available in a wide variety of scents — from soothing lavender and sandalwood to rich frankincense and exotic oud — there is a fragrance to suit every preference. Incense sticks and cones are easy to use; simply light the tip, allow it to catch flame briefly, then gently blow it out and let the ember slowly release its fragrant smoke. Place your incense in a proper holder to safely catch any ash. Burn in a well-ventilated area and keep away from flammable materials, children, and pets. Explore the rich tradition of incense burning and transform your living space into a serene and inviting sanctuary.	0717HU7ZTH4	mugwort	28		2026-07-17 05:45:34 PDT		y	1			11				B0FY5DT9BR						B0FY5DT9BR				AMAZON_NA	Migrated Template	Inactive
AFENGAU Pine Cone Incense Sticks, Natural Charcoal-Free, Stick Form, Earthy Wood Aroma for Meditation, Relaxation, Yoga & Home Fragrance	AFENGAU Pine Cone Incense Sticks capture the vigorous essence of pine and the calm steadiness of pine cones, releasing a gentle, earthy wood aroma. Made without charcoal, these sticks produce a clean, mild smoke that is not overpowering, making them ideal for sensitive environments. Perfect for meditation, yoga, relaxation, air purifying, and everyday home fragrance. Each incense stick measures approximately 9.05 inches in length, allowing for a long, steady burn to fill your space with soothing fragrance. Keep in a cool, dry place away from moisture to preserve the quality and fragrance for long-lasting use.	0618HJ5CBBC	pineconehy	27.99		2026-06-18 08:16:13 PDT		y	4			11				B0GWVDR845						8711727421529				AMAZON_NA	Migrated Template	Inactive
2019 Classic Old Mountain Sandalwood Incense Sticks, Natural Fragrance, Stick Form, Meditation and Aromatherapy, 9.05 Inch	Experience the timeless and authentic fragrance of 2019 Classic Old Mountain Sandalwood Incense Sticks. These premium incense sticks are crafted from natural sandalwood sourced from the mountains, offering a pure and rich woody aroma that has been treasured for centuries. Each stick measures 9.05 inches in length, providing a long, steady burn ideal for meditation, yoga, aromatherapy, and relaxation. The natural fragrance helps calm the mind, reduce stress, and create a peaceful atmosphere in any space. Free from artificial additives and charcoal, these incense sticks produce minimal smoke while delivering a consistent, authentic sandalwood scent.	0618HIRYQ4F	sandalhy	27.99		2026-06-18 08:16:14 PDT		y	4			11				B0GWVQTGQT						8711727421536				AMAZON_NA	Migrated Template	Inactive
Yinjiyue Natural Sandalwood Incense Sticks - 400 Premium Hand-Dipped Sticks for Meditation, Yoga, and Aromatherapy - Authentic Calming Scent for Stress Relief	Experience the pure, calming, and grounding scent of natural sandalwood with Yinjiyue. Our incense sticks are crafted from premium sandalwood powder, providing an authentic and traditional fragrance that gently fills your space without being overwhelming. Each package contains 400 high-quality, hand-dipped incense sticks that burn evenly and release a consistent, beautiful aroma for approximately 45-60 minutes. Enhance your meditation, yoga, or mindfulness practice with the serene ambiance created by our sandalwood incense. We use only natural, sustainably sourced sandalwood and other plant-based materials, free from harsh chemicals and artificial fragrances.	0921HUW0DEY	sandalwood400	27.99		2026-09-20 20:04:59 PDT		y	3			11				B0HKHDXF1M						737512101108				AMAZON_NA	Migrated Template	Inactive
Seedlink White Sage Incense Sticks (50g, Approx. 50 Sticks) for Cleansing Negative Energy | Pure & Natural Aromatherapy Incense for Meditation, Yoga, and Spiritual Purification (20)		0612HSIRYUF	whitesage20	13.94		2026-06-12 00:01:03 PDT		y	1			11				B0FY6R869L						B0FY6R869L				AMAZON_NA	Migrated Template	Inactive
Seedlink Natural White Sage Smudge Sticks (4-Inch, 3-Pack) - California Grown Sage Bundles for Cleansing House of Negative Energy, Spiritual Purification, Meditation & Smudging Rituals		0612HSRR4IW	whitesagebundle	9.75		2026-06-12 00:02:09 PDT		y	1			11				B0FYCTS187						B0FYCTS187				AMAZON_NA	Migrated Template	Inactive
Seedlink Natural White Sage Smudge Sticks (4-Inch) - California Grown Sage Bundles for Cleansing House of Negative Energy, Spiritual Purification, Meditation & Smudging Rituals	Each 4-inch smudge stick is handcrafted with 100% natural Salvia Apiana, sustainably grown and harvested on private land in California. Our sage bundles are carefully hand-tied with cotton string, ensuring a slow, even burn for your cleansing rituals. Use our potent white sage smudge sticks to cleanse your home, office, or personal space. The sacred smoke is traditionally used to clear away negative energy, spiritual impurities, and emotional blockages. Elevate your spiritual journey with the grounding aroma of our burning sage, ideal for smudging, blessing ceremonies, yoga, and meditation. Sustainably and ethically sourced, supporting responsible harvesting practices.	0618HJ0MWGW	whitesagebundle2	13.99		2026-06-18 08:16:16 PDT		y	4			11				B0GDLQ6Z6M						8711727421499				AMAZON_NA	Migrated Template	Inactive
